Yearmon,CPI
01-10-2020,260.388
01-11-2020,260.229
01-12-2020,260.474
01-01-2021,261.582
01-02-2021,263.014
01-03-2021,264.877
01-04-2021,267.054
01-05-2021,269.195
01-06-2021,271.696
01-07-2021,273.003
